
일간그래프(5분평균)
일시,수신,송신
2024.11.30 18:10:00,107451754540.26001,19773193381.680004
2024.11.30 18:15:00,109455899818.66,19924501107.850002
2024.11.30 18:20:00,109520653951.08,20107012115.73
2024.11.30 18:25:00,110822837941.81001,19978014074.620007
2024.11.30 18:30:00,113773019873.18001,20297714935.399994
2024.11.30 18:35:00,110387380328.58002,20274553920.61
2024.11.30 18:40:00,111774951539.44,20657891527.8
2024.11.30 18:45:00,111569739572.36,20560591838.540005
2024.11.30 18:50:00,110339615025.44,20722048551.829998
2024.11.30 18:55:00,110270770259.34001,20665522848.030006
2024.11.30 19:00:00,113897697775.54002,21227892724.64
2024.11.30 19:05:00,116918221653.59,21841248355.93
2024.11.30 19:10:00,120791533051.87999,22249804221.78
2024.11.30 19:15:00,120513708302.11,22579946977.509995
2024.11.30 19:20:00,119356934009.29001,22888873995.810005
2024.11.30 19:25:00,121896944194.34001,22886930943.980003
2024.11.30 19:30:00,120992010917.69002,23075707202.760006
2024.11.30 19:35:00,124148056227.85,23355564725.839996
2024.11.30 19:40:00,126369724034.54001,23665407950.479996
2024.11.30 19:45:00,128412053407.73999,23933545148.300007
2024.11.30 19:50:00,126101342819.13,24268123785.3
2024.11.30 19:55:00,127414131762.30002,24612615211.020004
2024.11.30 20:00:00,131602139178.45998,25576548890.339996
2024.11.30 20:05:00,131957750281.98001,25868348024.489994
2024.11.30 20:10:00,130764503598.94998,26084789258.670002
2024.11.30 20:15:00,134162742406.56,26499067865.29
2024.11.30 20:20:00,131681153461.73999,26823565501.579994
2024.11.30 20:25:00,134703066695.48,26921321456.210003
2024.11.30 20:30:00,135541776378.15,27494434524.050007
2024.11.30 20:35:00,138232764051.07,27823203990.329998
2024.11.30 20:40:00,139764554234.95,28133575326.219997
2024.11.30 20:45:00,142668956881.03,28369304917.590004
2024.11.30 20:50:00,142724959325.74,28894403351.52
2024.11.30 20:55:00,140638292491.57996,28751123664.430004
2024.11.30 21:00:00,144243992104.13,29522387310.87
2024.11.30 21:05:00,144361150560.37997,30001060610.890003
2024.11.30 21:10:00,146875499090.97,30130002275.539997
2024.11.30 21:15:00,145402620281.56003,30398980572.890007
2024.11.30 21:20:00,147913256018.72,30673754349.389996
